theta1,theta2,omega1,omega2,alpha1,alpha2
-0.3703321310179542,-0.7985921365526836,0.6097618874198073,-2.2487138830985463,-1.3680142251715912,8.595912691067662
-0.3584204375719643,-0.8418212324038378,0.5810259192039948,-2.0730415758568523,-1.4826233593471982,8.942374407121186
-0.3470979623334271,-0.8814782556405165,0.5512238778100389,-1.891995403557824,-1.4819647269728449,9.14204977015464
-0.33636578639069736,-0.9174817577225111,0.5222460058773855,-1.7080211489967747,-1.4062343684974077,9.242135968871274
-0.47969104306747123,0.9166797476244106,-0.24965115494922996,1.567092003128319,6.540548751157469,-9.133895670092501
-0.4834031372434507,0.9462067074770605,-0.12287752577381722,1.38613586166809,6.1447318343320285,-8.974409861477126
-0.48465584895325114,0.9721416145738501,-0.003563396031066521,1.2076571763667927,5.793763519737798,-8.883777401125899
-0.48358969660115225,0.9945211504948382,0.10914516472992797,1.030412168264351,5.4836780855634695,-8.849109567124518
-0.48032878508804244,1.0133595300940066,0.2160416357045,0.8533898153929073,5.21232675587174,-8.859954498929389
-0.4749816777908936,1.028652692857284,0.3178914983662823,0.6757665455443329,4.979002753350058,-8.907976518940663
-0.4676416891659247,1.0403816437749058,0.4154579794184553,0.49686609184441033,4.784143828046851,-8.986756168595077
-0.4583867172270678,1.0485150245297357,0.5095225529272226,0.316122347094224,4.6291044649275355,-9.091686609409635
-0.4472787072084012,1.053010957082659,0.6009015330728001,0.13304349173974786,4.5159920155827,-9.21994714238353
-0.43436281205004235,1.0538181706911358,0.6904600029095005,-0.0528240036119465,4.447563953731223,-9.37054049406897
-0.4196662907996072,1.0508763977027549,0.7791242982733184,-0.24193269025313469,4.427186377770645,-9.544386139065498
-0.40319716144260676,1.0441160008854902,0.8678942935364528,-0.4347738534445851,4.458856260603484,-9.744466881288444
-0.38494259913412526,1.0334567736242564,0.9578568006875816,-0.6319206949614061,4.547291155954804,-9.97602971167333
-0.3648670438568006,1.018805832553763,1.050201461070173,-0.8340760959642244,4.698088875801952,-10.2468432498828
-0.3429099537421143,1.000054499706143,1.146240508212798,-1.042126083908944,4.917953315334811,-10.567509369731923
-0.31898311439627064,0.9770740501773834,1.2474335541903412,-1.257199924025966,5.2149649453088385,-10.951807592870036
-0.29296739807768857,0.9497101898755219,1.355417753680974,-1.4807368846398157,5.598831561870782,-11.416998442811115
-0.2647088776617516,0.9177761484478059,1.4720415506876217,-1.7145571440320955,6.0809551272612,-11.983882882712127
-0.23401428118151762,0.88104437975648,1.5993949593515056,-1.9609276325806941,6.673922747985078,-12.676111208385986
-0.20064601956974754,0.8392371848375576,1.7398170291895994,-2.2225974341164036,7.389514887173912,-13.51753632274983
-0.164317650169734,0.7920174049986639,1.8958330300934567,-2.502739611319185,8.233176758138569,-14.524833261599456
-0.12469213310171848,0.7389823364958692,2.0699111542851245,-2.804650847705858,9.190432139626584,-15.689195035886137
-0.08138862015387005,0.679668610143925,2.263794568942493,-3.130875838936856,10.195882416666846,-16.93416558880328
-0.03401073393892605,0.6135856807669162,2.476907299926836,-3.481065510001326,11.068267350106373,-18.026514766023823
0.017777052236341337,0.5403144829899008,2.7029712730833624,-3.84736816606243,11.395387940230108,-18.41685712183272
0.07407988336241603,0.45973371501765736,2.9240426116613634,-4.2062226191400836,10.409474943124584,-17.0642431301509
0.1344683256591105,0.3724324412187203,3.1038531455426033,-4.509087071390675,7.115430217715747,-12.60627915405781
0.19760989182500885,0.28021442413551767,3.1905495679289806,-4.686005930034427,1.1715778438715172,-4.569945526920694
0.2611787122975793,0.18622324534021778,3.1427895798960415,-4.681397880941274,-5.91664094368853,4.978113354792905
0.32243273164063363,0.09415021468319107,2.963874772345026,-4.500970457772535,-11.559390555553854,12.486636615049216
0.3791577292772494,0.006940933046871378,2.6988831926865537,-4.207456967016912,-14.493132513897358,16.250984888473056
0.43015958424339923,-0.07386907655584572,2.398862828548141,-3.871013146297948,-15.229893644550371,17.01620560701121
0.47510817020998847,-0.14792415048628163,2.097494978024731,-3.5372201423809777,-14.78263135348734,16.20149737418535
0.5141582196364177,-0.2155166256422878,1.810533926554183,-3.226656897686217,-13.876934281641333,14.81457053079816
0.5476600163361887,-0.27718473339523036,1.5429626796113929,-2.944986872006576,-12.882773564693839,13.365954987672223
0.5760063906536058,-0.3335012945550695,1.294778522904802,-2.691011136183828,-11.95219475856908,12.064232681179588
0.5995681323466729,-0.3849850336801024,1.0641307061790506,-2.4610012713964022,-11.13199355415634,10.97323649331821
0.6186732887939008,-0.43207230988350204,0.8487430465675636,-2.2506507120872605,-10.42473092813592,10.096290304281473
0.6336052291180463,-0.47511454634558625,0.64647661556969,-2.0558450245519593,-9.81712200670872,9.414906467709125
